City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Andenes,NO,69.31,16.12,35.01,81,100,8.05,light rain
83,Saint-Denis,FR,48.92,2.33,37.0,93,90,2.24,mist
84,Pak Phanang,TH,8.35,100.2,77.0,94,75,3.36,broken clouds
85,Chimbote,PE,-9.09,-78.58,70.68,78,60,9.64,broken clouds
86,Cruzilia,BR,-21.84,-44.81,63.61,93,91,8.59,overcast clouds
87,Saint-Georges,GD,12.06,-61.75,80.6,69,20,10.29,few clouds
88,Atuona,PF,-9.8,-139.03,77.77,78,49,20.94,light rain
89,Tezu,IN,27.92,96.17,57.36,31,90,3.49,overcast clouds
90,Waipawa,NZ,-41.41,175.52,66.99,72,83,16.11,light rain
91,Qaanaaq,GL,77.48,-69.36,-3.21,77,0,2.51,clear sky
92,Mahdalynivka,UA,48.92,34.92,33.8,92,90,4.47,mist
93,Grottammare,IT,42.99,13.86,46.0,74,100,4.0,overcast clouds
94,Bluff,NZ,-46.6,168.33,53.01,97,100,5.99,moderate rain
95,Japura,ID,-0.32,102.35,71.56,98,100,1.1,moderate rain
96,Chara,RU,56.91,118.26,-26.57,72,16,1.39,few clouds
97,Puerto Leguizamo,CO,-0.19,-74.78,75.34,89,96,2.28,overcast clouds
98,Berlin,DE,52.52,13.41,35.01,92,75,9.17,mist
99,Illapel,CL,-31.63,-71.17,72.05,43,0,5.93,clear sky
100,Caravelas,BR,-17.71,-39.25,75.67,84,58,7.83,broken clouds
101,Saint George,US,37.1,-113.58,48.99,36,1,1.23,clear sky
102,San Juan,AR,-31.54,-68.54,80.53,48,36,22.3,scattered clouds
103,Cidreira,BR,-30.18,-50.21,70.29,78,11,11.16,few clouds
104,Cherskiy,RU,68.75,161.3,-25.51,84,100,5.53,overcast clouds
105,Acapulco,MX,16.86,-99.89,84.2,54,5,6.93,clear sky
106,Hobart,AU,-42.88,147.33,68.0,72,75,5.82,broken clouds
107,Hami,CN,42.8,93.45,13.14,90,53,5.5,broken clouds
108,Yerbogachen,RU,61.28,108.01,-18.74,85,100,10.16,overcast clouds
109,Campo Verde,BR,-20.42,-54.07,80.6,65,20,4.7,few clouds
110,Praya,CV,14.92,-23.51,71.6,83,20,13.87,few clouds
111,Provideniya,RU,64.38,-173.3,1.13,82,68,22.26,broken clouds
112,Nanortalik,GL,60.14,-45.24,28.85,95,88,7.52,overcast clouds
113,Aller,ES,43.12,-5.58,42.01,92,90,3.69,moderate rain
114,Lavrentiya,RU,65.58,-171.0,-6.5,88,0,13.71,clear sky
115,Gevrai,IN,19.27,75.75,64.45,56,81,4.27,broken clouds
116,Manado,ID,1.49,124.85,77.0,94,40,1.12,scattered clouds
117,Mata,PT,40.68,-7.46,28.99,92,0,1.54,clear sky
118,Itarema,BR,-2.92,-39.92,80.28,77,0,15.79,clear sky
119,Margate,GB,51.38,1.39,37.99,85,100,4.0,overcast clouds
120,Laguna,US,38.42,-121.42,53.01,81,75,3.36,mist
121,Mehamn,NO,71.04,27.85,23.76,94,52,8.79,broken clouds
122,Kem,RU,64.96,34.58,25.92,99,100,5.1,overcast clouds
123,Kanigoro,ID,-8.13,112.22,75.0,86,100,2.35,overcast clouds
124,Lebu,CL,-37.62,-73.65,60.24,85,9,16.6,clear sky
125,Saint-Pierre,RE,-21.34,55.48,77.0,69,0,17.22,clear sky
126,Sambava,MG,-14.27,50.17,77.61,85,100,11.18,moderate rain
127,Hermanus,ZA,-34.42,19.23,64.99,85,1,3.0,clear sky
128,Mitzic,GA,0.78,11.55,69.69,97,86,3.02,overcast clouds
129,Port Macquarie,AU,-31.43,152.92,75.2,88,90,5.82,overcast clouds
130,Santiago,CL,-33.46,-70.65,82.0,39,20,8.05,few clouds
131,Boyabat,TR,41.47,34.77,42.08,69,0,0.58,clear sky
132,Thinadhoo,MV,0.53,72.93,82.38,74,43,8.79,scattered clouds
133,Cordoba,AR,-31.41,-64.18,87.01,35,0,18.34,clear sky
134,Kalmunai,LK,7.42,81.82,78.4,86,26,8.63,moderate rain
135,Laramie,US,41.31,-105.59,30.0,63,1,27.51,clear sky
136,Esperance,AU,-33.87,121.9,59.0,72,90,6.93,overcast clouds
137,Broome,US,42.25,-75.83,34.0,86,90,9.17,overcast clouds
138,Constitucion,CL,-35.33,-72.42,61.0,74,18,12.17,few clouds
139,Moultrie,US,31.18,-83.79,64.4,100,90,3.36,heavy intensity rain
140,Chumikan,RU,54.72,135.31,-20.7,77,100,21.27,overcast clouds
141,Ancud,CL,-41.87,-73.82,69.8,60,20,10.29,few clouds
142,Rio Tuba,PH,8.51,117.43,80.6,77,100,5.68,very heavy rain
143,Todos Santos,MX,23.45,-110.22,75.0,44,34,5.99,scattered clouds
144,Port Hardy,CA,50.7,-127.42,44.6,87,75,8.05,light rain
145,Kavieng,PG,-2.57,150.8,84.58,72,99,12.15,overcast clouds
146,Baykit,RU,61.67,96.37,-10.23,84,100,7.67,overcast clouds
147,Fairbanks,US,64.84,-147.72,-5.8,76,75,3.36,broken clouds
148,Torit,SS,4.41,32.57,76.59,53,58,3.0,broken clouds
149,Griffith,US,41.53,-87.42,35.6,96,90,5.82,overcast clouds
150,Roma,US,43.21,-75.46,30.99,80,90,10.29,overcast clouds
151,Bambanglipuro,ID,-7.95,110.28,77.56,83,77,2.42,light rain
152,Cairns,AU,-16.92,145.77,84.99,78,75,5.82,broken clouds
153,Kaka,TM,37.35,59.61,31.93,86,0,4.38,clear sky
154,Hambantota,LK,6.12,81.12,77.04,83,55,13.06,broken clouds
155,Oistins,BB,13.07,-59.53,77.0,61,20,18.34,few clouds
156,Codrington,AU,-38.27,141.97,62.92,90,100,15.17,overcast clouds
157,Port Hedland,AU,-20.32,118.57,86.0,79,75,13.87,broken clouds
158,Lodja,CD,-3.48,23.43,68.72,95,66,1.16,light rain
159,Vitim,RU,59.45,112.56,-16.83,84,100,12.71,overcast clouds
160,Clyde River,CA,70.47,-68.59,-18.4,75,40,5.82,scattered clouds
161,Luderitz,NA,-26.65,15.16,64.4,72,99,10.29,overcast clouds
162,Sorland,NO,67.67,12.69,40.68,68,95,9.8,overcast clouds
163,Narsaq,GL,60.92,-46.05,30.2,80,99,4.7,light shower snow
164,Kogon,UZ,39.72,64.55,24.8,100,90,1.01,fog
165,Inndyr,NO,67.03,14.03,33.8,86,75,8.05,broken clouds
166,Evensk,RU,61.95,159.23,-5.21,85,100,16.67,overcast clouds
167,Batagay,RU,67.63,134.63,-40.02,80,10,1.23,clear sky
168,Awbari,LY,26.59,12.78,53.29,73,0,3.51,clear sky
169,Avarua,CK,-21.21,-159.78,84.2,74,33,17.22,scattered clouds
170,Pisco,PE,-13.7,-76.22,73.4,73,0,19.46,clear sky
171,Souillac,MU,-20.52,57.52,77.0,69,20,11.41,light rain
172,Richards Bay,ZA,-28.78,32.04,69.37,75,100,2.37,overcast clouds
173,Emba,KZ,48.83,58.14,7.77,90,100,8.99,overcast clouds
174,Ridgecrest,US,35.62,-117.67,55.99,24,1,3.36,clear sky
175,Cabo San Lucas,MX,22.89,-109.91,71.01,49,40,10.29,scattered clouds
176,Pavagada,IN,14.1,77.27,66.94,87,94,8.55,overcast clouds
177,East London,ZA,-33.02,27.91,68.23,79,12,15.68,few clouds
178,Kaiu,EE,59.01,25.06,30.99,100,90,8.05,snow
179,Namibe,AO,-15.2,12.15,71.83,75,99,4.97,overcast clouds
180,Coquimbo,CL,-29.95,-71.34,64.4,72,20,12.75,few clouds
181,Kodinsk,RU,58.69,99.18,-14.48,87,100,4.72,overcast clouds
182,Lynn Haven,US,30.25,-85.65,61.0,93,75,4.7,broken clouds
183,Ilulissat,GL,69.22,-51.1,14.0,66,85,1.12,overcast clouds
184,Upernavik,GL,72.79,-56.15,7.61,94,100,11.39,overcast clouds
185,Longyearbyen,SJ,78.22,15.64,30.2,86,75,9.17,broken clouds
186,Carnarvon,AU,-24.87,113.63,75.2,100,0,12.75,clear sky
187,Hervey Bay,AU,-25.3,152.85,82.0,71,4,4.0,clear sky
188,Saskylakh,RU,71.92,114.08,-34.51,82,56,6.26,broken clouds
189,Samarai,PG,-10.62,150.67,84.58,76,100,11.74,overcast clouds
190,Kaitangata,NZ,-46.28,169.85,64.0,78,100,11.01,overcast clouds
191,Butaritari,KI,3.07,172.79,81.37,81,0,19.24,light rain
192,Mangan,IN,27.52,88.53,55.74,32,99,4.68,overcast clouds
193,Mumford,GH,5.26,-0.76,80.42,84,0,12.48,clear sky
194,Riyadh,SA,24.69,46.72,57.2,82,0,3.36,clear sky
195,Voh,NC,-20.97,164.7,82.69,76,99,4.99,overcast clouds
196,San Miguelito,PA,9.03,-79.5,86.0,74,20,8.05,few clouds
197,La Rioja,ES,42.25,-2.5,35.01,86,20,6.93,light snow
198,Bandrele,YT,-12.91,45.19,82.4,74,0,5.82,clear sky
199,Turukhansk,RU,65.82,87.98,-18.78,88,100,8.84,light snow
200,Banatsko Novo Selo,RS,44.99,20.78,48.2,75,0,12.75,clear sky
201,Poya,NC,-21.35,165.15,82.8,71,96,5.86,overcast clouds
202,Mahebourg,MU,-20.41,57.7,77.0,69,20,11.41,light rain
203,Kollam,IN,8.88,76.6,78.8,88,20,8.34,mist
204,Korla,CN,41.76,86.15,15.75,87,58,14.72,broken clouds
205,Colon,PA,9.36,-79.9,81.0,81,4,8.01,clear sky
206,Eagle Pass,US,28.71,-100.5,64.4,48,5,2.26,clear sky
207,Shellbrook,CA,53.22,-106.4,19.4,79,20,8.05,few clouds
208,Madimba,TZ,-10.4,40.33,77.0,94,20,9.17,few clouds
209,Casper,US,42.87,-106.31,35.6,55,90,25.28,overcast clouds
210,Yar-Sale,RU,66.83,70.83,-24.61,85,0,12.44,clear sky
211,Kharan,PK,28.58,65.42,40.28,56,0,4.52,clear sky
212,Katsuura,JP,35.13,140.3,39.0,59,20,8.05,few clouds
213,Yumen,CN,40.28,97.2,12.27,82,100,7.87,overcast clouds
214,Payao,PH,10.18,122.95,78.48,83,99,8.84,moderate rain
215,La Ronge,CA,55.1,-105.28,19.4,92,90,1.12,overcast clouds
216,Kahului,US,20.89,-156.47,80.6,61,40,23.04,light rain
217,Villalba,PR,18.13,-66.49,77.0,93,21,6.17,few clouds
218,Milkovo,RU,54.72,158.62,2.39,90,100,2.64,overcast clouds
219,Catabola,AO,-12.15,17.28,61.77,91,98,6.06,overcast clouds
220,Ciudad Valles,MX,21.98,-99.02,62.94,46,60,5.93,broken clouds
221,Mar Del Plata,AR,-38.0,-57.56,80.6,61,0,10.29,clear sky
222,Boshnyakovo,RU,49.63,142.17,-2.54,92,100,4.5,light snow
223,Ibotirama,BR,-12.19,-43.22,79.52,50,95,1.32,overcast clouds
224,Rize,TR,40.9,40.89,28.08,91,0,3.47,clear sky
225,Marystown,CA,47.17,-55.15,30.27,91,100,6.53,overcast clouds
226,Roald,NO,62.58,6.13,30.2,80,0,10.29,clear sky
227,Pouebo,NC,-20.4,164.57,81.63,77,100,10.29,overcast clouds
228,Chuy,UY,-33.7,-53.46,64.44,73,0,8.63,clear sky
229,Pacific Grove,US,36.62,-121.92,54.0,100,90,3.36,mist
230,Davila,PH,18.47,120.58,66.2,93,75,2.24,broken clouds
231,Labuhan,ID,-6.88,112.21,78.58,84,100,8.25,overcast clouds
232,Chaoyang,CN,41.57,120.46,2.32,75,0,3.85,clear sky
233,Lompoc,US,34.64,-120.46,59.0,67,1,6.93,clear sky
234,Loiza,PR,18.43,-65.88,75.2,78,75,23.04,broken clouds
235,Ostrovnoy,RU,68.05,39.51,21.06,95,100,9.19,overcast clouds
236,Oranjemund,NA,-28.55,16.43,80.82,53,77,12.35,broken clouds
237,Gorom-Gorom,BF,14.44,-0.24,76.19,19,0,4.52,clear sky
238,Mandalgarh,IN,25.2,75.1,62.15,84,22,4.12,few clouds
239,Panguipulli,CL,-39.63,-72.33,71.6,60,17,10.29,few clouds
240,Bengkulu,ID,-3.8,102.27,75.02,88,91,3.53,moderate rain
241,Taltal,CL,-25.4,-70.48,66.7,71,22,5.68,few clouds
242,Kieta,PG,-6.22,155.63,84.38,65,62,1.68,broken clouds
243,Lagoa,PT,39.05,-27.98,59.31,89,100,36.91,moderate rain
244,Ambilobe,MG,-13.2,49.05,75.02,85,100,3.4,overcast clouds
245,Port Blair,IN,11.67,92.75,78.3,77,96,10.92,overcast clouds
246,Saint-Leu,RE,-21.15,55.28,77.0,69,0,17.22,clear sky
247,Sao Filipe,CV,14.9,-24.5,75.43,75,38,9.17,scattered clouds
248,Udachnyy,RU,66.42,112.4,-18.4,75,0,6.71,clear sky
249,Mount Gambier,AU,-37.83,140.77,64.4,88,90,12.75,overcast clouds
250,Rincon,US,32.3,-81.24,69.8,94,90,9.17,overcast clouds
251,Maniitsoq,GL,65.42,-52.9,24.24,90,100,4.68,overcast clouds
